trait,id,common_id,study_id,study_name,country,gradient_id,species,family,ele_level,treatment,control,sd_treatment,sd_control,n_individuals,pt,LONG,LAT,ARIDITY_INDEX,SOLAR_RADIATION,MEAN_GROWING_SEASON_TEMPERATURE,elevation_treatment,elevation_control,elevation,elevation_log,yi,vi
SLA,31,11,30,Kong et al. (2012),China,Sergyemla Mountains (NSlope),Rhododendron aganniphum,Ericaceae,5,4.916666667,6.233773127,0.385644498,0.392418631,30,w,94.6,29.6,0.5902,155.525802612305,7.13333330551783,4450,4190,260,5.56068163101553,-0.237350993651709,0.000337166262879
SLA,32,11,30,Kong et al. (2012),China,Sergyemla Mountains (NSlope),Rhododendron aganniphum,Ericaceae,6,4.751675077,6.233773127,0.057016052,0.392418631,30,w,94.6,29.6,0.5902,155.525802612305,7.13333330551783,4500,4190,310,5.73657229747919,-0.271484584166818,0.000136891160557
SLA,33,12,30,Kong et al. (2012),China,Sergyemla Mountains (SSlope),Rhododendron aganniphum,Ericaceae,2,5.156347368,5.423084347,0.207214313,0.12615271,30,w,94.6,29.6,0.5902,155.525802612305,7.13333330551783,4280,4210,70,4.24849524204936,-0.050436266892632,7.18687999799514E-05
SLA,34,12,30,Kong et al. (2012),China,Sergyemla Mountains (SSlope),Rhododendron aganniphum,Ericaceae,3,4.858142388,5.423084347,0.205510222,0.12615271,30,w,94.6,29.6,0.5902,155.525802612305,7.13333330551783,4370,4210,160,5.07517381523383,-0.110008581151536,7.76868870756419E-05
SLA,35,12,30,Kong et al. (2012),China,Sergyemla Mountains (SSlope),Rhododendron aganniphum,Ericaceae,4,4.70021645,5.423084347,0.13121597,0.12615271,30,w,94.6,29.6,0.5902,155.525802612305,7.13333330551783,4450,4210,240,5.48063892334199,-0.143056160459017,4.4016258904873E-05
SLA,36,13,39,Li et al. (2014)B,China,Mount Jinfo,Chimonobambusa utilis,Poaceae,2,23.935,21.151,2.414478826,1.278253496,12,w,107.15,29.01,1.5128,122.133949279785,18.233333269755,2000,1500,500,6.21460809842219,0.123654637146035,0.001152367891371
SLA,37,14,55,Shi et al. (2015),China,Wolong National Nature Reserve  4,Salix atopantha,Salicaceae,2,14.568,14.595,0.599266218,1.270086611,6,w,104.34,32.41,0.7106,128.228240966797,20.983333269755,3500,2500,1000,6.90775527898214,-0.001851661880771,0.001544164680193
SLA,38,15,4,Bilgin and Guzel (2017),Turkey,Firtina Valley,Tilia rubra,Tiliaceae,2,17.3,16,3.39411255,2.121320344,5,w,40.96,40.97,1.1882,154.492034912109,19.4833334287008,679,330,349,5.85507192220243,0.078117779263952,0.011213844121422
SLA,39,15,4,Bilgin and Guzel (2017),Turkey,Firtina Valley,Tilia rubra,Tiliaceae,3,19.5,16,2.121320344,2.121320344,5,w,40.96,40.97,1.1882,154.492034912109,19.4833334287008,974,330,644,6.46769872610435,0.19782574332992,0.005882488907768
SLA,40,16,12,Chai et al. (2015),China,Niubeiliang National Nature Reserve,Quercus aliena,Fagaceae,2,15.4,10.7,3.03,1.77,5,w,93.2,29.16,0.4008,155.914611816406,10.2833334604899,1870,1480,390,5.96614673912369,0.364123767951723,0.013215160405203
SLA,41,16,12,Chai et al. (2015),China,Niubeiliang National Nature Reserve,Quercus aliena,Fagaceae,3,14.5,10.7,2.72,1.77,5,w,93.2,29.16,0.4008,155.914611816406,10.2833334604899,2070,1480,590,6.38012253689976,0.303904907958668,0.012510509387182
SLA,42,17,12,Chai et al. (2015),China,Niubeiliang National Nature Reserve,Quercus spinosa,Fagaceae,2,6.66,7.79,0.97,1.21,10,w,93.2,29.16,0.4008,155.914611816406,10.2833334604899,2100,1970,130,4.86753445045558,-0.156721375330359,0.004533923750042
SLA,43,17,12,Chai et al. (2015),China,Niubeiliang National Nature Reserve,Quercus spinosa,Fagaceae,3,5.89,7.79,1.16,1.21,10,w,93.2,29.16,0.4008,155.914611816406,10.2833334604899,2200,1970,230,5.4380793089232,-0.279584862219162,0.006291351184104
SLA,44,18,18,Feng et al. (2013),China,Wolong National Nature Reserve,Quercus aquifolioides,Fagaceae,2,6.448,6.629,0.273664028,0.540399852,12,w,103.1,31.02,1.4065,129.617568969727,9.83333313465118,3500,2600,900,6.80239476332431,-0.027683958054927,0.000703908363817
SLA,45,19,27,Kilic et al. (2012),Turkey,Amasya,Amelanchier rotundifolia,Rosaceae,2,6.19,6.46,1.48492424,1.767766953,10,w,35.85,40.65,0.4029,158.268646240234,19.1166666348775,600,450,150,5.01063529409626,-0.042694231098006,0.013243091236159
SLA,46,19,27,Kilic et al. (2012),Turkey,Amasya,Amelanchier rotundifolia,Rosaceae,3,6.37,6.46,1.13137085,1.767766953,10,w,35.85,40.65,0.4029,158.268646240234,19.1166666348775,800,450,350,5.85793315448346,-0.014029848210438,0.010642834350788
SLA,47,20,27,Kilic et al. (2012),Turkey,Amasya,Rhamnus oleoides,Rhamnaceae,2,6.74,8.06,1.626345597,1.979898987,10,w,35.85,40.65,0.4029,158.268646240234,19.1166666348775,600,450,150,5.01063529409626,-0.178853631594321,0.011856599903101
SLA,48,20,27,Kilic et al. (2012),Turkey,Amasya,Rhamnus oleoides,Rhamnaceae,3,6.71,8.06,2.121320344,1.979898987,10,w,35.85,40.65,0.4029,158.268646240234,19.1166666348775,800,450,350,5.85793315448346,-0.183314605534947,0.016028795667139
SLA,49,21,31,Kudo (1996),Japan,Taisetsu Mountains,Betula platyphylla,Betulaceae,2,16.48162041,14.60315079,3.804884383,2.711904636,35,w,142.86,43.71,3.501,114.520942687988,10,700,140,560,6.32793678372919,0.12100853253173,0.002508046002222
SLA,50,22,31,Kudo (1996),Japan,Taisetsu Mountains,Betula ermanii,Betulaceae,2,15.60306031,14.64108911,3.263041114,2.431104286,35,w,142.86,43.71,3.501,114.520942687988,10,700,140,560,6.32793678372919,0.063635170208168,0.002037318203994
SLA,51,22,31,Kudo (1996),Japan,Taisetsu Mountains,Betula ermanii,Betulaceae,3,21.02216472,14.64108911,2.449591771,2.431104286,35,w,142.86,43.71,3.501,114.520942687988,10,1700,140,1560,7.35244110024358,0.361745445445539,0.001175697130606
SLA,52,23,31,Kudo (1996),Japan,Taisetsu Mountains,Alnus maximowiczii,Betulaceae,2,21.43564356,14.00990099,5.6941454,4.880696057,35,w,142.86,43.71,3.501,114.520942687988,10,750,140,610,6.41345895716736,0.425290830163086,0.005483689178782
SLA,53,23,31,Kudo (1996),Japan,Taisetsu Mountains,Alnus maximowiczii,Betulaceae,3,15.04950495,14.00990099,1.626898686,4.880696057,35,w,142.86,43.71,3.501,114.520942687988,10,1900,140,1760,7.4730690880322,0.071580803737156,0.003801464844437
SLA,54,24,31,Kudo (1996),Japan,Taisetsu Mountains,Quercus mongolica,Fagaceae,2,18.4961362,14.21999517,4.870775943,2.440348028,35,w,142.86,43.71,3.501,114.520942687988,10,700,140,560,6.32793678372919,0.26291277150459,0.002822838993719
SLA,55,25,35,Li et al. (2006),China,Wolong National Nature Reserve3,Quercus aquifolioides,Fagaceae,2,6.343369101,5.885321388,1.277034391,1.437668477,10,w,103.1,31.02,1.4065,129.617568969727,9.83333313465118,2200,2000,200,5.29831736654804,0.074948680641308,0.010020183618052
SLA,56,25,35,Li et al. (2006),China,Wolong National Nature Reserve3,Quercus aquifolioides,Fagaceae,3,7.659631212,5.885321388,1.277297942,1.437668477,10,w,103.1,31.02,1.4065,129.617568969727,9.83333313465118,2600,2000,600,6.39692965521615,0.26350248734002,0.008748083115359
SLA,57,25,35,Li et al. (2006),China,Wolong National Nature Reserve3,Quercus aquifolioides,Fagaceae,4,8.016168351,5.885321388,1.757355344,1.437668477,10,w,103.1,31.02,1.4065,129.617568969727,9.83333313465118,2800,2000,800,6.68461172766793,0.308999195387261,0.010773309177916
SLA,58,25,35,Li et al. (2006),China,Wolong National Nature Reserve3,Quercus aquifolioides,Fagaceae,5,6.504094176,5.885321388,1.19836454,1.437668477,10,w,103.1,31.02,1.4065,129.617568969727,9.83333313465118,3000,2000,1000,6.90775527898214,0.099970501239507,0.009362012171255
SLA,59,25,35,Li et al. (2006),China,Wolong National Nature Reserve3,Quercus aquifolioides,Fagaceae,6,5.269882279,5.885321388,1.677763066,1.437668477,10,w,103.1,31.02,1.4065,129.617568969727,9.83333313465118,3200,2000,1200,7.09007683577609,-0.110453326252858,0.016103122495498
SLA,60,25,35,Li et al. (2006),China,Wolong National Nature Reserve3,Quercus aquifolioides,Fagaceae,7,4.969892697,5.885321388,0.959719479,1.437668477,10,w,103.1,31.02,1.4065,129.617568969727,9.83333313465118,3400,2000,1400,7.24422751560335,-0.169063100871348,0.009696308828712
SLA,61,25,35,Li et al. (2006),China,Wolong National Nature Reserve3,Quercus aquifolioides,Fagaceae,8,4.468007084,5.885321388,0.959587704,1.437668477,10,w,103.1,31.02,1.4065,129.617568969727,9.83333313465118,3600,2000,1600,7.37775890822787,-0.275518883903406,0.010579845742452
SLA,62,26,36,Li et al. (2007),China,Wolong National Nature Reserve 2,Hippophae rhamnoides,Elaeagnaceae,2,16.5,15.26470588,1.085095276,0.86807622,10,w,103.1,31.02,1.4065,129.617568969727,9.83333313465118,2410,2000,410,6.01615715969835,0.07781702251095,0.000755880943672
SLA,63,26,36,Li et al. (2007),China,Wolong National Nature Reserve 2,Hippophae rhamnoides,Elaeagnaceae,3,18.76470588,15.26470588,0.86807622,0.86807622,10,w,103.1,31.02,1.4065,129.617568969727,9.83333313465118,2800,2000,800,6.68461172766793,0.206434400207652,0.000537408200306
SLA,64,26,36,Li et al. (2007),China,Wolong National Nature Reserve 2,Hippophae rhamnoides,Elaeagnaceae,4,15.26470588,15.26470588,1.085095276,0.86807622,10,w,103.1,31.02,1.4065,129.617568969727,9.83333313465118,3205,2000,1205,7.09423484592476,0,0.000828710252473
SLA,65,26,36,Li et al. (2007),China,Wolong National Nature Reserve 2,Hippophae rhamnoides,Elaeagnaceae,5,13.61764706,15.26470588,0.86807622,0.86807622,10,w,103.1,31.02,1.4065,129.617568969727,9.83333313465118,3600,2000,1600,7.37775890822787,-0.114176828839119,0.000729759701779
SLA,66,27,42,Luo et al. (2005),China,Hailuogou Natural Reserve,Cyclobalanopsis oxyodon,Fagaceae,2,6.033333333,5.866666667,0.907377173,0.907377173,30,w,101.96,29.53,1.512,136.651580810547,5.29999987284342,2200,1900,300,5.7037824746562,0.028013036115607,0.001551336770095
SLA,67,28,42,Luo et al. (2005),China,Hailuogou Natural Reserve,Lithocarpus cleistocarpus,Fagaceae,2,5.9,5.966666667,1.5,0.611010093,30,w,101.96,29.53,1.512,136.651580810547,5.29999987284342,2200,1900,300,5.7037824746562,-0.011236073322792,0.002504105425959
SLA,68,29,42,Luo et al. (2005),China,Hailuogou Natural Reserve,Phoebe chinensis,Lauraceae,2,10,7.933333333,2.066397832,3.066485502,30,w,101.96,29.53,1.512,136.651580810547,5.29999987284342,2200,1900,300,5.7037824746562,0.231511801026743,0.006403560719195
SLA,69,30,44,Macek et al. (2009),Chile,Cordillera Occidental (West slopes),Polylepis rugulosa,Rosaceae,2,3.178988327,3.279766537,0.164442353,0.207075556,5,w,-69.51,-18.23,0.2694,176.624984741211,5.66666654745738,3720,3180,540,6.29156913955832,-0.031209232106375,0.001332418247404
SLA,70,30,44,Macek et al. (2009),Chile,Cordillera Occidental (West slopes),Polylepis rugulosa,Rosaceae,3,2.903891051,3.279766537,0.194894641,0.207075556,5,w,-69.51,-18.23,0.2694,176.624984741211,5.66666654745738,4300,3180,1120,7.02108396428914,-0.121720662733398,0.001698147943691
SLA,71,31,44,Macek et al. (2009),Bolivia,Cordillera Occidental/western Altiplano,Polylepis tarapacana,Rosaceae,2,3.176264591,3.350583658,0.103537778,0.133990066,5,w,-68.95,-18.11,0.3278,174.067840576172,4.65000009536743,4640,4280,360,5.88610403145016,-0.053428707506337,0.000532358416568
SLA,72,31,44,Macek et al. (2009),Bolivia,Cordillera Occidental/western Altiplano,Polylepis tarapacana,Rosaceae,3,3.241634241,3.350583658,0.127899608,0.133990066,5,w,-68.95,-18.11,0.3278,174.067840576172,4.65000009536743,5010,4280,730,6.59304453414244,-0.033056958919976,0.000631185024625
SLA,73,32,44,Macek et al. (2009),Bolivia,Eastern Altiplano,Polylepis tomentella,Rosaceae,2,3.13540856,3.217120623,0.109628235,0.091356863,5,w,-66.46,-19.75,0.1634,177.959671020508,5.6333331267039,4620,4300,320,5.76832099579377,-0.025727255283899,0.000405783274332
SLA,74,32,44,Macek et al. (2009),Bolivia,Eastern Altiplano,Polylepis tomentella,Rosaceae,3,3.263424125,3.217120623,0.140080523,0.091356863,5,w,-66.46,-19.75,0.1634,177.959671020508,5.6333331267039,4900,4300,600,6.39692965521615,0.01429024619754,0.000529779766658
SLA,75,33,46,Martin and Anser (2009),USA,Hawaii (Mauna Loa) 1,Metrosideros polymorpha,Myrtaceae,2,4.43902439,4.43902439,0.661241059,0.755704068,5,w,-155.6,19.48,1.9472,292.85,4.89999987185001,701,107,594,6.38687931936265,0,0.010234271229812
SLA,76,33,46,Martin and Anser (2009),USA,Hawaii (Mauna Loa) 1,Metrosideros polymorpha,Myrtaceae,3,3.243902439,4.43902439,1.22801911,0.755704068,5,w,-155.6,19.48,1.9472,292.85,4.89999987185001,1280,107,1173,7.06731984865348,-0.313657558807615,0.034458281683891
SLA,77,33,46,Martin and Anser (2009),USA,Hawaii (Mauna Loa) 1,Metrosideros polymorpha,Myrtaceae,4,2.317073171,4.43902439,0.661241059,0.755704068,5,w,-155.6,19.48,1.9472,292.85,4.89999987185001,1981,107,1874,7.53583046279837,-0.65012979530552,0.022084490041834
SLA,78,33,46,Martin and Anser (2009),USA,Hawaii (Mauna Loa) 1,Metrosideros polymorpha,Myrtaceae,5,2.43902439,4.43902439,0.850167076,0.755704068,5,w,-155.6,19.48,1.9472,292.85,4.89999987185001,2469,107,2362,7.76726399675731,-0.598836501133759,0.030096401413342
SLA,79,34,53,Rosado et al. (2016),Brazil,DRY Serra do Mar,Alchornea triplinervia,Euphorbiaceae,2,11.469,15.357,0.710140831,4.790852534,4,w,-45.05,-23.28,1.3161,130.277755737305,19.2999998728434,1000,100,900,6.80239476332431,-0.29192365276117,0.025289070102638
SLA,80,35,53,Rosado et al. (2016),Brazil,WET Serra do Mar,Alchornea triplinervia,Euphorbiaceae,2,12.555,13.831,4.574346183,10.090928,4,w,-45.05,-23.28,1.3161,130.277755737305,19.2999998728434,1000,100,900,6.80239476332431,-0.096793457033023,0.166261309716763
SLA,81,36,53,Rosado et al. (2016),Brazil,DRY Serra do Mar,Hyeronima alchorneoides,Phyllanthaceae,2,12.706,12.103,1.085995856,4.337055222,4,w,-45.05,-23.28,1.3161,130.277755737305,19.2999998728434,1000,100,900,6.80239476332431,0.048620967087875,0.033929196380096
SLA,82,37,53,Rosado et al. (2016),Brazil,WET Serra do Mar,Hyeronima alchorneoides,Phyllanthaceae,2,13.125,12.963,3.230274756,5.353769046,4,w,-45.05,-23.28,1.3161,130.277755737305,19.2999998728434,1000,100,900,6.80239476332431,0.012419662859782,0.057786339750148
SLA,83,38,53,Rosado et al. (2016),Brazil,DRY Serra do Mar,Mollinedia schottiana,Monimiaceae,2,14.827,23.741,4.179438599,2.232613491,4,w,-45.05,-23.28,1.3161,130.277755737305,19.2999998728434,1000,100,900,6.80239476332431,-0.470753668257642,0.022075020002479
SLA,84,39,53,Rosado et al. (2016),Brazil,WET Serra do Mar,Mollinedia schottiana,Monimiaceae,2,16.248,19.44,6.056981674,9.318433345,4,w,-45.05,-23.28,1.3161,130.277755737305,19.2999998728434,1000,100,900,6.80239476332431,-0.179362974754209,0.092184326104254
SLA,85,40,53,Rosado et al. (2016),Brazil,DRY Serra do Mar,Rustia formosa,Rubiaceae,2,14.674,24.289,5.525242076,23.2631744,4,w,-45.05,-23.28,1.3161,130.277755737305,19.2999998728434,1000,100,900,6.80239476332431,-0.503946352669369,0.264773083740127
SLA,86,41,53,Rosado et al. (2016),Brazil,WET Serra do Mar,Rustia formosa,Rubiaceae,2,13.58,14.814,0.980340757,1.039230485,4,w,-45.05,-23.28,1.3161,130.277755737305,19.2999998728434,1000,100,900,6.80239476332431,-0.086974557460547,0.002533173338356
SLA,87,42,55,Shi et al. (2015),China,Wolong National Nature Reserve  4,Quercus spinosa,Fagaceae,2,8.071,9.282,0.720013889,0.449449663,6,w,104.34,32.41,0.7106,128.228240966797,20.983333269755,3500,2500,1000,6.90775527898214,-0.139799650476749,0.001717179810247
SLA,88,43,67,Williams-Linera (2000),Mexico,Xalapa,Carpinus caroliniana,Betulaceae,2,23.5,21.9,6.2,7.3,6,w,-96.95,19.5,1.2301,152.285736083984,21.2000002861023,1470,1250,220,5.39362754635236,0.070513784327658,0.030119544623845
SLA,89,44,67,Williams-Linera (2000),Mexico,Xalapa,Clethra mexicana,Clethraceae,2,9.6,10.9,1.8,1.5,5,w,-96.95,19.5,1.2301,152.285736083984,21.2000002861023,1470,1250,220,5.39362754635236,-0.126999690761308,0.0108188099697
SLA,90,45,67,Williams-Linera (2000),Mexico,Xalapa,Liquidambar styraciflua,Hamamelidaceae,2,24,18.2,4.6,5.9,7,w,-96.95,19.5,1.2301,152.285736083984,21.2000002861023,1470,1250,220,5.39362754635236,0.276632236265196,0.020260868013027
SLA,91,46,67,Williams-Linera (2000),Mexico,Xalapa,Quercus xalapensis,Fagaceae,2,14,14.6,1.9,1.9,6,w,-96.95,19.5,1.2301,152.285736083984,21.2000002861023,1470,1250,220,5.39362754635236,-0.041964199099032,0.005892333758424
SLA,92,47,67,Williams-Linera (2000),Mexico,Xalapa,Hedyosmum mexicanum,Chloranthaceae,2,20.6,22.5,6.6,11.3,3,w,-96.95,19.5,1.2301,152.285736083984,21.2000002861023,1470,1250,220,5.39362754635236,-0.088224233414839,0.118291951666164
SLA,93,48,67,Williams-Linera (2000),Mexico,Xalapa,Oreopanax xalapensis,Araliaceae,2,8.4,9.8,3.8,3.5,5,w,-96.95,19.5,1.2301,152.285736083984,21.2000002861023,1470,1250,220,5.39362754635236,-0.154150679827258,0.066439909297052
SLA,94,49,67,Williams-Linera (2000),Mexico,Xalapa,Turpinia insignis,Staphyleaceae,2,11.5,14.5,1.8,2.6,6,w,-96.95,19.5,1.2301,152.285736083984,21.2000002861023,1470,1250,220,5.39362754635236,-0.231801614057324,0.009441875763767
SLA,95,50,57,Sriladda et al. (2014),USA,Torrey,Shepherdia rotundifolia,Elaeagnaceae,2,3.7,3.78,0.12,0.15,5,w,-111.2,38.16,0.2077,160.524169921875,20.4666666984558,2295,1642,653,6.48157712927643,-0.021391189981317,0.000525313325828
SLA,96,50,57,Sriladda et al. (2014),USA,Torrey,Shepherdia rotundifolia,Elaeagnaceae,3,4.86,3.78,0.55,0.15,5,w,-111.2,38.16,0.2077,160.524169921875,20.4666666984558,2507,1642,865,6.76272950693188,0.251314428280906,0.002876372822156
SLA,97,51,74,Zhu et al (2010),China,Kunlun Mountains,Calligonum roborovskii,Polygonaceae,2,9.116071429,8.901785714,0.339285714,0.482142857,5,w,80.71,36.39,0.0318,154.435577392578,19.5833334922791,2350,2100,250,5.52146091786225,0.023787048281936,0.000863757066836
